,Y,Nombre,Ultimo año disponible,Fecha constitución,Fecha cambio estado,"Rentabilidad sobre recursos propios (%)
%
-4","Rentabilidad sobre recursos propios (%)
%
-3","Rentabilidad sobre recursos propios (%)
%
-2","Rentabilidad sobre recursos propios (%)
%
-1","Rentabilidad sobre recursos propios (%)
%
-0","Rentabilidad sobre capital empleado (%)
%
-4","Rentabilidad sobre capital empleado (%)
%
-3","Rentabilidad sobre capital empleado (%)
%
-2","Rentabilidad sobre capital empleado (%)
%
-1","Rentabilidad sobre capital empleado (%)
%
-0","Rentabilidad sobre el activo total (%)
%
-4","Rentabilidad sobre el activo total (%)
%
-3","Rentabilidad sobre el activo total (%)
%
-2","Rentabilidad sobre el activo total (%)
%
-1","Rentabilidad sobre el activo total (%)
%
-0","Margen de beneficio (%)
%
-4","Margen de beneficio (%)
%
-3","Margen de beneficio (%)
%
-2","Margen de beneficio (%)
%
-1","Margen de beneficio (%)
%
-0","Rotación de activos netos
%
-4","Rotación de activos netos
%
-3","Rotación de activos netos
%
-2","Rotación de activos netos
%
-1","Rotación de activos netos
%
-0","Ratio de cobertura de intereses
%
-4","Ratio de cobertura de intereses
%
-3","Ratio de cobertura de intereses
%
-2","Ratio de cobertura de intereses
%
-1","Ratio de cobertura de intereses
%
-0","Rotación de las existencias
%
-4","Rotación de las existencias
%
-3","Rotación de las existencias
%
-2","Rotación de las existencias
%
-1","Rotación de las existencias
%
-0","Período de cobro (días)
días
-4","Período de cobro (días)
días
-3","Período de cobro (días)
días
-2","Período de cobro (días)
días
-1","Período de cobro (días)
días
-0","Período de crédito (días)
días
-4","Período de crédito (días)
días
-3","Período de crédito (días)
días
-2","Período de crédito (días)
días
-1","Período de crédito (días)
días
-0","Costes de los trabajadores / Ingresos de explotación (%)
%
-4","Costes de los trabajadores / Ingresos de explotación (%)
%
-3","Costes de los trabajadores / Ingresos de explotación (%)
%
-2","Costes de los trabajadores / Ingresos de explotación (%)
%
-1","Costes de los trabajadores / Ingresos de explotación (%)
%
-0","Coste medio de los empleados
mil
-4","Coste medio de los empleados
mil
-3","Coste medio de los empleados
mil
-2","Coste medio de los empleados
mil
-1","Coste medio de los empleados
mil
-0","Capital circulante por empleado
mil
-4","Capital circulante por empleado
mil
-3","Capital circulante por empleado
mil
-2","Capital circulante por empleado
mil
-1","Capital circulante por empleado
mil
-0","Ingresos de explotación
EUR
-4","Ingresos de explotación
EUR
-3","Ingresos de explotación
EUR
-2","Ingresos de explotación
EUR
-1","Ingresos de explotación
EUR
-0","Result. ordinarios antes Impuestos
EUR
-4","Result. ordinarios antes Impuestos
EUR
-3","Result. ordinarios antes Impuestos
EUR
-2","Result. ordinarios antes Impuestos
EUR
-1","Result. ordinarios antes Impuestos
EUR
-0","Resultado del Ejercicio
EUR
-4","Resultado del Ejercicio
EUR
-3","Resultado del Ejercicio
EUR
-2","Resultado del Ejercicio
EUR
-1","Resultado del Ejercicio
EUR
-0","Total Activo
EUR
-4","Total Activo
EUR
-3","Total Activo
EUR
-2","Total Activo
EUR
-1","Total Activo
EUR
-0","Fondos propios
EUR
-4","Fondos propios
EUR
-3","Fondos propios
EUR
-2","Fondos propios
EUR
-1","Fondos propios
EUR
-0","Rentabilidad económica (%)
%
-4","Rentabilidad económica (%)
%
-3","Rentabilidad económica (%)
%
-2","Rentabilidad económica (%)
%
-1","Rentabilidad económica (%)
%
-0","Rentabilidad financiera (%)
%
-4","Rentabilidad financiera (%)
%
-3","Rentabilidad financiera (%)
%
-2","Rentabilidad financiera (%)
%
-1","Rentabilidad financiera (%)
%
-0","Liquidez general
%
-4","Liquidez general
%
-3","Liquidez general
%
-2","Liquidez general
%
-1","Liquidez general
%
-0","Endeudamiento (%)
%
-4","Endeudamiento (%)
%
-3","Endeudamiento (%)
%
-2","Endeudamiento (%)
%
-1","Endeudamiento (%)
%
-0","Número empleados
-4","Número empleados
-3","Número empleados
-2","Número empleados
-1","Número empleados
-0","Ratios de autonomía financiera a medio y largo plazo
%
-4","Ratios de autonomía financiera a medio y largo plazo
%
-3","Ratios de autonomía financiera a medio y largo plazo
%
-2","Ratios de autonomía financiera a medio y largo plazo
%
-1","Ratios de autonomía financiera a medio y largo plazo
%
-0","Apalancamiento (%)
%
-4","Apalancamiento (%)
%
-3","Apalancamiento (%)
%
-2","Apalancamiento (%)
%
-1","Apalancamiento (%)
%
-0","Ratio de solvencia
%
-4","Ratio de solvencia
%
-3","Ratio de solvencia
%
-2","Ratio de solvencia
%
-1","Ratio de solvencia
%
-0"
0,0,1881 HOTELS SOCIEDAD LIMITADA.,31/12/2020,4/8/2006,22/12/2011,34.2,-20.44,12.06,2.76,175.48,-1.81,3.41,7.95,6.45,-209.29,-5.0,-1.42,1.11,0.28,-64.63,-2.29,-0.6,0.39,0.09,-33.02,3.62,5.01,6.7,8.24,6.45,-0.28,0.53,1.49,1.13,-59.43,74.32,57.96,60.32,53.79,38.83,25.0,24.0,23.0,23.0,10.0,22.0,24.0,24.0,15.0,27.0,47.4,45.45,46.44,49.57,68.7,29.0,30.0,29.0,31.0,26.0,1.0,1.0,1.0,3.0,-1.0,3501935.0,3752687.0,3752686.0,3814932.0,2080479.0,-80183.0,-22431.0,14566.0,3412.0,-686923.0,-59900.0,-16586.0,11037.0,2721.0,-514955.0,1603744.0,1581023.0,1312009.0,1198035.0,1062833.0,-234435.0,109752.0,120789.0,123510.0,-391445.0,-5.0,-1.42,1.11,0.28,-64.63,34.2,-20.44,12.06,2.76,175.48,1.03,0.86,0.69,0.66,0.33,114.62,93.06,90.79,89.69,136.83,57.0,57.0,60.0,62.0,55.0,-0.2,0.17,0.28,0.36,-0.55,-512.71,582.44,363.65,274.67,-182.48,1.03,0.86,0.69,0.66,0.33
1,1,1900 CAT SL (EXTINGUIDA),31/12/2009,31/12/1996,25/3/2011,9.51,1.05,19.91,5.91,12.65,13.53,5.39,22.39,8.21,13.78,5.02,0.6,10.58,2.81,6.77,1.67,0.18,3.85,1.16,2.66,5.69,5.27,4.6,3.89,3.7,3.32,1.15,4.74,2.21,3.47,75.2,111.1,165.88,181.07,267.99,16.0,14.0,48.0,18.0,16.0,0.0,0.0,0.0,24.0,11.0,26.63,26.99,29.12,31.99,31.42,19.0,20.0,21.0,22.0,22.0,4.0,4.0,10.0,-1.0,1.0,1580425.0,1662689.0,1723363.0,1774598.0,1833681.0,26417.0,2988.0,66340.0,20602.0,48727.0,9108.0,6668.0,48682.0,15419.0,36545.0,526018.0,496643.0,626774.0,733257.0,719755.0,277793.0,284460.0,333142.0,348562.0,385106.0,1.73,1.34,7.77,2.81,6.77,9.51,1.05,19.91,5.91,12.65,0.59,0.63,1.13,1.28,1.52,47.19,42.72,46.85,52.46,46.49,22.0,22.0,24.0,26.0,26.0,,9.22,8.05,3.24,3.47,0.0,10.85,12.42,37.89,36.3,0.59,0.63,1.13,1.28,1.52
2,0,2002 CARDENAL BENLLOCH SL,31/12/2020,19/4/2002,19/4/2002,2.97,50.02,7.87,8.54,-9.93,2.27,25.41,5.38,6.05,-3.55,0.26,21.43,3.96,4.53,-5.29,0.94,75.05,13.93,15.13,-42.5,0.31,0.32,0.31,0.33,0.13,1.15,2.39,5.31,5.78,-1.66,74.89,80.42,97.43,85.15,59.72,27.0,32.0,38.0,38.0,40.0,16.0,15.0,25.0,17.0,13.0,28.72,28.51,26.22,26.84,44.77,32.0,30.0,28.0,30.0,35.0,5.0,6.0,5.0,8.0,7.0,4247751.0,4437394.0,4748372.0,5067644.0,1902112.0,39734.0,3330312.0,661326.0,766787.0,-808367.0,39734.0,3330312.0,482217.0,587984.0,-819312.0,15401611.0,15538284.0,16715256.0,16943305.0,15295385.0,1339792.0,6657594.0,8400236.0,8975712.0,8143892.0,0.26,21.43,3.96,4.53,-5.29,2.97,50.02,7.87,8.54,-9.93,0.44,0.69,0.83,1.18,0.5,91.3,57.15,49.75,47.03,46.76,38.0,42.0,45.0,45.0,24.0,0.11,0.9,1.24,1.42,1.35,963.98,117.79,85.37,75.39,78.57,0.44,0.69,0.83,1.18,0.5
3,0,2004 GODISA SL,31/12/2020,11/8/2004,11/8/2004,1.89,1.14,2.37,0.32,-32.9,1.92,1.33,2.21,0.63,-18.08,0.99,0.6,1.29,0.16,-13.24,0.67,0.39,0.69,0.09,-10.17,1.8,1.99,2.56,2.7,1.8,2.71,2.36,4.91,1.66,-72.84,38.04,29.14,34.73,23.51,16.57,9.0,9.0,10.0,8.0,2.0,18.0,15.0,15.0,32.0,34.0,34.31,37.78,37.5,40.14,41.67,20.0,21.0,21.0,22.0,18.0,0.0,1.0,1.0,-1.0,-1.0,575137.0,609352.0,726148.0,725678.0,511502.0,3873.0,2349.0,5007.0,671.0,-52045.0,3873.0,2349.0,4429.0,-748.0,-52045.0,392933.0,389640.0,387679.0,415723.0,393174.0,204857.0,206568.0,210997.0,210249.0,158204.0,0.99,0.6,1.29,0.16,-13.24,1.89,1.14,2.37,0.32,-32.9,0.69,0.65,0.56,0.67,0.61,47.86,46.98,45.57,49.43,59.76,10.0,11.0,13.0,13.0,12.0,1.79,2.08,2.89,3.61,1.26,55.98,47.97,34.54,27.68,79.46,0.69,0.65,0.56,0.67,0.61
4,0,2005 HOTELES 2 SL,31/12/2020,18/7/2005,18/7/2005,-16.87,-35.39,21.64,16.92,-15.53,-2.06,-5.09,7.06,6.4,-2.47,-3.6,-6.6,5.21,4.66,-4.08,-28.76,-32.3,23.33,19.33,-42.14,0.13,0.21,0.23,0.25,0.1,-1.21,-2.87,3.64,3.93,-1.67,191.3,695.34,,,375.02,25.0,19.0,19.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,29.36,20.87,18.89,19.34,32.73,25.0,25.0,24.0,25.0,21.0,6.0,7.0,7.0,6.0,2.0,2003911.0,2680751.0,2709627.0,2928680.0,1104276.0,-576330.0,-866009.0,632109.0,566079.0,-465379.0,89264.0,-969936.0,473474.0,424160.0,-349097.0,15987596.0,13118320.0,12143570.0,12152634.0,11416152.0,3417153.0,2447217.0,2920691.0,3344851.0,2995754.0,-3.6,-6.6,5.21,4.66,-4.08,-16.87,-35.39,21.64,16.92,-15.53,0.41,0.43,10.13,1.33,2.38,78.63,81.35,75.95,72.48,73.76,24.0,22.0,21.0,23.0,17.0,0.29,0.24,0.33,0.39,0.36,362.54,426.47,307.6,255.78,277.73,0.41,0.43,10.13,1.33,2.38
5,0,29 PALMA SA,31/12/2020,29/3/1989,31/12/1998,-65.61,-688.96,7.59,-0.52,-70.83,-24.54,-45.07,7.58,-0.44,-70.76,-14.96,-28.16,4.52,-0.31,-42.79,-7.16,-12.17,1.76,-0.11,-53.2,3.43,3.7,4.29,4.66,1.33,,,981.44,-5.54,,117.08,110.13,138.47,138.66,43.81,103.0,98.0,78.0,78.0,248.0,63.0,44.0,42.0,41.0,163.0,38.23,40.3,34.28,27.11,50.93,36.0,36.0,36.0,30.0,23.0,11.0,14.0,12.0,12.0,12.0,2851505.0,2856560.0,3512094.0,3744475.0,1175482.0,-204170.0,-347545.0,61964.0,-4134.0,-625404.0,-153128.0,-260746.0,46473.0,-3193.0,-469172.0,1364351.0,1234024.0,1370547.0,1347179.0,1461417.0,311191.0,50445.0,816918.0,802106.0,882934.0,-14.96,-28.16,4.52,-0.31,-42.79,-65.61,-688.96,7.59,-0.52,-70.83,2.25,2.36,2.11,2.11,2.24,77.19,95.91,40.39,40.46,39.58,30.0,32.0,33.0,34.0,26.0,0.6,0.07,900.59,,973.37,167.34,1428.8,0.11,0.09,0.1,2.25,2.36,2.11,2.11,2.24
6,0,3 AMAT PURA VIDA SL.,31/12/2020,3/12/2015,3/12/2015,48.96,68.54,22.53,16.83,-135.37,48.96,68.54,22.53,16.83,-43.72,42.21,60.42,20.98,15.41,-39.7,15.65,36.36,13.66,11.81,-123.84,3.13,1.89,1.65,1.43,0.36,,,,,-109.49,630.59,595.02,,,,1.0,12.0,3.0,2.0,96.0,0.0,0.0,0.0,1.0,0.0,17.52,24.31,27.57,32.5,76.97,12.0,24.0,32.0,46.0,13.0,0.0,3.0,1.0,0.0,5.0,536001.0,499815.0,572197.0,565106.0,170688.0,83908.0,181735.0,78141.0,66739.0,-211377.0,72530.0,154421.0,57900.0,49691.0,-211377.0,198794.0,300809.0,372470.0,433118.0,532398.0,171380.0,265152.0,346812.0,396503.0,156151.0,42.21,60.42,20.98,15.41,-39.7,48.96,68.54,22.53,16.83,-135.37,2.41,1.24,4.29,5.3,2.73,13.79,11.85,6.89,8.45,70.67,8.0,5.0,5.0,4.0,10.0,,,,,0.48,0.0,0.0,0.0,0.0,206.85,2.41,1.24,4.29,5.3,2.73
7,0,328 SUN&LEISURE-MARBELLA SL.,31/12/2019,21/11/2014,21/11/2014,43.65,-355.27,66.53,257.31,68.36,43.65,54.46,901.88,142.13,68.4,-13.26,29.61,-11.22,28.85,14.96,-13.02,9.5,-2.96,5.85,4.13,-3.35,5.55,-345.58,23.66,16.24,,31.82,-7.48,37.6,49.27,21.32,,,,64.86,66.0,0.0,0.0,0.0,0.0,12.0,16.0,30.0,23.0,13.0,6.88,15.6,20.24,20.53,24.46,13.0,24.0,17.0,18.0,23.0,36.0,-7.0,-7.0,-6.0,-2.0,185769.0,455318.0,817470.0,1250692.0,1628098.0,-24191.0,43244.0,-24191.0,73160.0,67241.0,-24191.0,43244.0,-24191.0,64796.0,47235.0,182390.0,146063.0,215681.0,253603.0,449459.0,-55416.0,-12172.0,-36363.0,28433.0,98359.0,-13.26,29.61,-11.22,28.85,14.96,43.65,-355.27,66.53,257.31,68.36,0.73,1.34,0.58,0.58,0.52,130.38,108.33,116.86,88.79,78.12,1.0,3.0,10.0,14.0,17.0,,-0.13,-1.07,1.16,51.23,0.0,-773.44,-93.49,124.13,26.38,0.73,1.34,0.58,0.58,0.52
8,0,4 HC EMPRESAS TURISTICAS SL,31/12/2020,5/4/1999,5/4/1999,30.25,28.87,41.29,25.0,-83.54,16.98,13.53,19.54,19.13,-20.84,4.15,4.03,7.37,4.88,-8.35,1.5,1.71,3.4,2.49,-10.04,10.58,7.19,5.53,6.19,2.24,15.75,10.87,27.03,5.07,-12.83,9.17,14.17,121.9,471.75,36.4,42.0,52.0,61.0,80.0,206.0,97.0,102.0,95.0,117.0,235.0,29.1,28.95,27.64,29.51,37.13,22.0,23.0,23.0,23.0,15.0,-3.0,-5.0,-7.0,-8.0,-2.0,1037914.0,1112655.0,1158006.0,1179370.0,600657.0,15609.0,19013.0,39384.0,29348.0,-60299.0,11707.0,14260.0,29538.0,22011.0,-45224.0,376430.0,472323.0,534445.0,602010.0,722114.0,51596.0,65856.0,95394.0,117405.0,72181.0,4.15,4.03,7.37,4.88,-8.35,30.25,28.87,41.29,25.0,-83.54,1.17,1.22,1.34,1.2,1.33,86.29,86.06,82.15,80.5,90.0,14.0,14.0,14.0,15.0,15.0,1.11,0.74,0.84,1.61,0.37,90.19,139.77,141.28,87.25,356.71,1.17,1.22,1.34,1.2,1.33
9,0,4M HOTELES SANTIAGO SL.,31/12/2020,24/4/2013,24/4/2013,49.93,29.82,24.79,23.82,-52.13,49.93,29.82,24.79,23.82,-52.13,40.54,26.97,20.74,20.05,-47.99,17.3,12.61,12.18,12.36,-89.6,2.89,2.37,2.03,1.93,0.58,,,,,,,,,,,14.0,14.0,22.0,19.0,68.0,6.0,4.0,7.0,5.0,0.0,41.67,40.28,38.74,38.07,100.52,29.0,29.0,28.0,30.0,44.0,1.0,2.0,3.0,3.0,8.0,1901273.0,2017296.0,2128120.0,2185049.0,433411.0,328913.0,254372.0,259236.0,269971.0,-388338.0,247029.0,194153.0,192915.0,207390.0,-388338.0,811370.0,943003.0,1249749.0,1346665.0,809278.0,658793.0,852946.0,1045861.0,1133251.0,744914.0,40.54,26.97,20.74,20.05,-47.99,49.93,29.82,24.79,23.82,-52.13,5.25,9.11,5.36,5.57,10.03,18.8,9.55,16.31,15.85,7.95,27.0,28.0,29.0,28.0,10.0,,,,,,0.0,0.0,0.0,0.0,0.0,5.25,9.11,5.36,5.57,10.03
